Flight Code, Airline Name                           , Departure Time, Arrival Time, Duration, Stops, Price   , Departure City, Arrival City, Travel Class, Date of Travel
VN-247     , Vietnam Airlines                       , 10:00         , 17:05       , 7h 5m   ,     1,  5159607, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-247     , Vietnam Airlines                       , 10:00         , 21:45       , 35h 45m ,     1,  5272395, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-243     , Vietnam Airlines                       , 06:00         , 17:05       , 11h 5m  ,     1,  5320431, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-205     , Vietnam Airlines                       , 05:00         , 17:05       , 12h 5m  ,     1,  5371570, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-209     , Vietnam Airlines                       , 09:00         , 17:05       , 8h 5m   ,     1,  5385231, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-207     , Vietnam Airlines                       , 07:00         , 17:05       , 10h 5m  ,     1,  5429187, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-243     , Vietnam Airlines                       , 06:00         , 21:45       , 39h 45m ,     1,  5433219, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-205     , Vietnam Airlines                       , 05:00         , 21:45       , 40h 45m ,     1,  5484358, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-207     , Vietnam Airlines                       , 07:00         , 21:45       , 38h 45m ,     1,  5541975, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-245     , Vietnam Airlines                       , 08:00         , 17:05       , 9h 5m   ,     1,  5550446, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-243     , Vietnam Airlines                       , 06:00         , 12:30       , 30h 30m ,     1,  5571524, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-205     , Vietnam Airlines                       , 05:00         , 12:30       , 31h 30m ,     1,  5622663, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-211     , Vietnam Airlines                       , 11:00         , 17:05       , 6h 5m   ,     1,  5625925, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-245     , Vietnam Airlines                       , 08:00         , 21:45       , 37h 45m ,     1,  5663234, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-207     , Vietnam Airlines                       , 07:00         , 12:30       , 29h 30m ,     1,  5680280, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-253     , Vietnam Airlines                       , 14:00         , 21:45       , 31h 45m ,     1,  5738713, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-251     , Vietnam Airlines                       , 12:00         , 21:45       , 33h 45m ,     1,  5738713, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-211     , Vietnam Airlines                       , 11:00         , 21:45       , 34h 45m ,     1,  5738713, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-215     , Vietnam Airlines                       , 15:00         , 21:45       , 30h 45m ,     1,  5915502, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-265     , Vietnam Airlines                       , 20:30         , 07:15       , 10h 45m ,     1,  5950100, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-265     , Vietnam Airlines                       , 20:30         , 21:45       , 25h 15m ,     1,  5950100, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-213     , Vietnam Airlines                       , 13:00         , 21:45       , 32h 45m ,     1,  5984225, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-265     , Vietnam Airlines                       , 20:30         , 12:30       , 16h 0m  ,     1,  6789894, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-265     , Vietnam Airlines                       , 20:30         , 17:05       , 20h 35m ,     1,  6789894, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-267     , Vietnam Airlines                       , 22:00         , 07:15       , 9h 15m  ,     1,  7005455, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-267     , Vietnam Airlines                       , 22:00         , 21:45       , 23h 45m ,     1,  7119225, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-6025    , Vietnam Airlines                       , 23:00         , 21:45       , 22h 45m ,     1,  7633128, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-6025    , Vietnam Airlines                       , 23:00         , 07:15       , 8h 15m  ,     1,  7661500, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-267     , Vietnam Airlines                       , 22:00         , 12:30       , 14h 30m ,     1,  7777963, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-227     , Vietnam Airlines                       , 05:45         , 17:05       , 11h 20m ,     1,  7922417, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-267     , Vietnam Airlines                       , 22:00         , 17:05       , 19h 5m  ,     1,  8000372, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-231     , Vietnam Airlines                       , 18:30         , 07:15       , 12h 45m ,     1,  8275606, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-6025    , Vietnam Airlines                       , 23:00         , 12:30       , 13h 30m ,     1,  8368210, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-6025    , Vietnam Airlines                       , 23:00         , 17:05       , 18h 5m  ,     1,  8368210, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-7215    , Vietnam Airlines                       , 09:25         , 17:05       , 7h 40m  ,     1,  8496798, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-227     , Vietnam Airlines                       , 05:45         , 07:15       , 25h 30m ,     1,  8596800, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-231     , Vietnam Airlines                       , 18:30         , 12:30       , 18h 0m  ,     1,  8661699, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-231     , Vietnam Airlines                       , 18:30         , 17:05       , 22h 35m ,     1,  8661699, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-259     , Vietnam Airlines                       , 18:00         , 07:15       , 13h 15m ,     1,  8844172, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-257     , Vietnam Airlines                       , 17:30         , 07:15       , 13h 45m ,     1,  8844172, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
VN-221     , Vietnam Airlines                       , 21:00         , 07:15       , 10h 15m ,     1,  9438785, Hà Nội        , Phú Bài     , Phổ thông   , 13/11/2025
